prompt,completion,opposite_sent
backhand is a synonym of <extra_id_0>,"['forehand', 'palm']",backhand is an antonym of <extra_id_0>
custom is an antonym of <extra_id_0>,"['wone', 'practice', 'trade', 'wont', 'usage', 'fashion', 'habit', 'survival', 'custom-made', 'custom', 'customs']",custom is a synonym of <extra_id_0>
rake is an antonym of <extra_id_0>,"['tool', 'comb', 'rake', 'graze', 'consist', 'scan', 'breeder', 'rakes', 'pitch', 'libertine', 'roué']",rake is a synonym of <extra_id_0>
conspiracy is an antonym of <extra_id_0>,"['plot', 'set', 'conspiracies', 'organisation', 'conspiracy', 'agreement']",conspiracy is a synonym of <extra_id_0>
interest is an antonym of <extra_id_0>,"['situation', 'interest', 'sake', 'interests', 'power', 'curiosity', 'pastime', 'share', 'concern']",interest is a synonym of <extra_id_0>
interest is a synonym of <extra_id_0>,"['disinterest', 'bore', 'boring']",interest is an antonym of <extra_id_0>
management is an antonym of <extra_id_0>,"['mgt', 'management', 'administration', 'managements']",management is a synonym of <extra_id_0>
management is a synonym of <extra_id_0>,['staff'],management is an antonym of <extra_id_0>
chuck is an antonym of <extra_id_0>,"['chuckstone', 'chuck', 'chucks', 'chuckie', 'chow', 'vomit']",chuck is a synonym of <extra_id_0>
tomorrow is an antonym of <extra_id_0>,"['morrow', 'tomorrow', 'tomorrows', 'future', 'day']",tomorrow is a synonym of <extra_id_0>
tomorrow is a synonym of <extra_id_0>,['yesterday'],tomorrow is an antonym of <extra_id_0>
tantrum is an antonym of <extra_id_0>,"['tantrum', 'meltdown', 'fit', 'tantrums']",tantrum is a synonym of <extra_id_0>
tuna is an antonym of <extra_id_0>,"['scombroid', 'fish', 'eel', 'meat', 'tunny', 'tuna']",tuna is a synonym of <extra_id_0>
perform is an antonym of <extra_id_0>,"['perform', 'performs', 'do']",perform is a synonym of <extra_id_0>
firm is an antonym of <extra_id_0>,"['unwaveringly', 'strong', 'firms', 'organization', 'firm', 'company', 'enterprise', 'corporation', 'unfluctuating', 'immobile', 'business', 'solid', 'unfaltering', 'tauten', 'truehearted']",firm is a synonym of <extra_id_0>
firm is a synonym of <extra_id_0>,['soft'],firm is an antonym of <extra_id_0>
bulldozer is an antonym of <extra_id_0>,"['blade', 'tractor', 'regulator', 'caterpillar', 'bulldozers', 'bulldozer']",bulldozer is a synonym of <extra_id_0>
entertain is an antonym of <extra_id_0>,"['entertain', 'entertains', 'harbor']",entertain is a synonym of <extra_id_0>
entertain is a synonym of <extra_id_0>,['bore'],entertain is an antonym of <extra_id_0>
drought is an antonym of <extra_id_0>,"['weather', 'dryness', 'drought', 'droughts']",drought is a synonym of <extra_id_0>
application is an antonym of <extra_id_0>,"['request', 'program', 'use', 'action', 'effort', 'applications', 'application', 'lotion', 'software']",application is a synonym of <extra_id_0>
learning is an antonym of <extra_id_0>,"['knowledge', 'learning', 'learnings', 'eruditeness', 'erudition']",learning is a synonym of <extra_id_0>
learning is a synonym of <extra_id_0>,"['forgetting', 'teaching']",learning is an antonym of <extra_id_0>
bookbag is an antonym of <extra_id_0>,"['satchel', 'bookbags', 'bookbag', 'backpack']",bookbag is a synonym of <extra_id_0>
pepsi is an antonym of <extra_id_0>,"['pepsis', 'beverage', 'pepsi', 'cola']",pepsi is a synonym of <extra_id_0>
sofa is an antonym of <extra_id_0>,"['sofas', 'couch', 'settee', 'divan', 'sofa', 'seat', 'furniture']",sofa is a synonym of <extra_id_0>
scoring is an antonym of <extra_id_0>,"['marking', 'scorings', 'scoring']",scoring is a synonym of <extra_id_0>
conversation is an antonym of <extra_id_0>,"['speech', 'talk', 'banter', 'dialogue', 'speaking', 'conversations', 'conversation']",conversation is a synonym of <extra_id_0>
order is an antonym of <extra_id_0>,"['ordain', 'arrange', 'command', 'succession', 'request', 'organization', 'sort', 'tribe', 'regularity', 'peace', 'club', 'bespoke', 'order', 'prescription', 'state', 'class', 'sequence', 'instruction', 'injunction', 'denomination', 'discipline', 'rule', 'society', 'degree', 'decree', 'quiet', 'magnitude', 'law', 'commission', 'orders', 'orderliness', 'sect', 'rate', 'method', 'family', 'regulate', 'fraternity', 'symmetry', 'ordering', 'direction', 'brotherhood']",order is a synonym of <extra_id_0>
order is a synonym of <extra_id_0>,"['disorder', 'chaos', 'disorganized', 'suggestion']",order is an antonym of <extra_id_0>
swat is an antonym of <extra_id_0>,"['swats', 'swat', 'blow']",swat is a synonym of <extra_id_0>
theatre is an antonym of <extra_id_0>,"['playhouse', 'theatre', 'theatres', 'theater', 'author', 'dramaturgy', 'field']",theatre is a synonym of <extra_id_0>
speaker is an antonym of <extra_id_0>,"['speakers', 'articulator', 'loudspeaker', 'talker', 'chairperson', 'product', 'speaker', 'transducer']",speaker is a synonym of <extra_id_0>
speaker is a synonym of <extra_id_0>,"['microphone', 'addressee', 'listener']",speaker is an antonym of <extra_id_0>
admirer is an antonym of <extra_id_0>,"['person', 'admirers', 'lover', 'supporter', 'admirer']",admirer is a synonym of <extra_id_0>
hunting is an antonym of <extra_id_0>,"['huntings', 'search', 'hunt', 'hunting']",hunting is a synonym of <extra_id_0>
outcrop is an antonym of <extra_id_0>,"['rock', 'outcrop', 'outcropping', 'outcrops']",outcrop is a synonym of <extra_id_0>
defender is an antonym of <extra_id_0>,"['defenders', 'defender', 'combatant', 'preserver']",defender is a synonym of <extra_id_0>
post is an antonym of <extra_id_0>,"['post', 'position', 'posts', 'mail', 'upright', 'delivery', 'station', 'facility', 'shaft', 'stake', 'announce', 'publish', 'company']",post is a synonym of <extra_id_0>
post is a synonym of <extra_id_0>,"['ante', 'pre', 'before']",post is an antonym of <extra_id_0>
cocktail is an antonym of <extra_id_0>,"['cocktail', 'appetizer', 'cocktails']",cocktail is a synonym of <extra_id_0>
coverall is an antonym of <extra_id_0>,"['coveralls', 'coverall', 'overall']",coverall is a synonym of <extra_id_0>
tambourine is an antonym of <extra_id_0>,"['tambourines', 'tambourine', 'drum', 'percussion']",tambourine is a synonym of <extra_id_0>
blizzard is an antonym of <extra_id_0>,"['blizzards', 'storm', 'blizzard', 'rash']",blizzard is a synonym of <extra_id_0>
scythe is an antonym of <extra_id_0>,"['scythe', 'scythes']",scythe is a synonym of <extra_id_0>
potluck is an antonym of <extra_id_0>,"['potlucks', 'potluck', 'meal', 'fuddle']",potluck is a synonym of <extra_id_0>
fame is an antonym of <extra_id_0>,"['fame', 'proof', 'celebrity', 'musical', 'fames', 'band', 'repute', 'album', 'honor']",fame is a synonym of <extra_id_0>
fame is a synonym of <extra_id_0>,['notoriety'],fame is an antonym of <extra_id_0>
beehive is an antonym of <extra_id_0>,"['receptacle', 'beehives', 'apiary', 'hive', 'nest', 'workplace', 'beehive', 'hairdo']",beehive is a synonym of <extra_id_0>
bald is an antonym of <extra_id_0>,"['furless', 'hasty', 'denudate', 'balds', 'unruffled', 'smooth', 'faitherless', 'bald', 'slick', 'sleek', 'hairless', 'barefaced', 'bald-headed']",bald is a synonym of <extra_id_0>
bald is a synonym of <extra_id_0>,['faxed'],bald is an antonym of <extra_id_0>
waterway is an antonym of <extra_id_0>,"['waterway', 'waterways', 'watercourse']",waterway is a synonym of <extra_id_0>
fella is an antonym of <extra_id_0>,"['fella', 'chap', 'bloke', 'dude', 'geezer', 'feller', 'bruce', 'fellas', 'homey', 'guy', 'cove']",fella is a synonym of <extra_id_0>
do is an antonym of <extra_id_0>,"['swindle', 'perform', 'execute', 'dress', 'serve', 'cause', 'transact', 'ut', 'bash', 'does', 'disturbance', 'effect', 'act', 'observe', 'achieve', 'accomplish', 'conduct', 'chouse', 'do', 'suffice', 'translate', 'make', 'cozen', 'terminate', 'complete', 'prepare', 'bustle', 'conclude', 'practice', 'settle']",do is a synonym of <extra_id_0>
do is a synonym of <extra_id_0>,"[""don't"", 'leave', 'undone', 'inaction']",do is an antonym of <extra_id_0>
butter is an antonym of <extra_id_0>,"['mixture', 'grocery', 'fat', 'combatant', 'food', 'butter', 'spread', 'yellow', 'condiment']",butter is a synonym of <extra_id_0>
butter is a synonym of <extra_id_0>,['margarine'],butter is an antonym of <extra_id_0>
half is an antonym of <extra_id_0>,"['part', 'one-half', 'hemi', 'half', 'halves', 'halve']",half is a synonym of <extra_id_0>
half is a synonym of <extra_id_0>,['whole'],half is an antonym of <extra_id_0>
zipper is an antonym of <extra_id_0>,"['zipper', 'zippers', 'zip']",zipper is a synonym of <extra_id_0>
zipper is a synonym of <extra_id_0>,['buttons'],zipper is an antonym of <extra_id_0>
employment is an antonym of <extra_id_0>,"['state', 'employment', 'hire', 'use', 'action', 'employments', 'occupation', 'employ']",employment is a synonym of <extra_id_0>
employment is a synonym of <extra_id_0>,"['unemployment', 'underemployment']",employment is an antonym of <extra_id_0>
digger is an antonym of <extra_id_0>,"['diggers', 'spade', 'laborer', 'digger']",digger is a synonym of <extra_id_0>
yawning is an antonym of <extra_id_0>,"['yawning', 'yawnings', 'yawn', 'oscitant']",yawning is a synonym of <extra_id_0>
airline is an antonym of <extra_id_0>,"['airline', 'airlines', 'line', 'hose', 'airway', 'business']",airline is a synonym of <extra_id_0>
lesbianism is an antonym of <extra_id_0>,"['lgbt', 'homosexualism', 'homosexuality', 'gayness', 'lesbianisms', 'lesbianism']",lesbianism is a synonym of <extra_id_0>
convention is an antonym of <extra_id_0>,"['practice', 'conventionality', 'conventions', 'event', 'station', 'assembly', 'treaty', 'convention', 'meeting', 'promotation']",convention is a synonym of <extra_id_0>
telescope is an antonym of <extra_id_0>,"['magnifier', 'telescopes', 'telescope']",telescope is a synonym of <extra_id_0>
scramble is an antonym of <extra_id_0>,"['struggle', 'clamber', 'scamper', 'beat', 'scrambles', 'scramble']",scramble is a synonym of <extra_id_0>
scramble is a synonym of <extra_id_0>,['sortie'],scramble is an antonym of <extra_id_0>
mold is an antonym of <extra_id_0>,"['shape', 'container', 'soil', 'sculpture', 'determine', 'fungus', 'molds', 'cast', 'mildew', 'mold', 'mould', 'model']",mold is a synonym of <extra_id_0>
mold is a synonym of <extra_id_0>,['fungus'],mold is an antonym of <extra_id_0>
rip is an antonym of <extra_id_0>,"['rend', 'rent', 'steal', 'rake', 'rip', 'opening', 'tear', 'turbulence', 'rips']",rip is a synonym of <extra_id_0>
slogan is an antonym of <extra_id_0>,"['motto', 'slogans', 'tagline', 'slogan']",slogan is a synonym of <extra_id_0>
bare is an antonym of <extra_id_0>,"['expose', 'despoiled', 'scanty', 'unfinished', 'mere', 'simple', 'denude', 'naked', 'nude', 'exposed', 'unembellished', 'stripped', 'publicize', 'desolate', 'unsheathed', 'village', 'bares', 'marginal', 'empty', 'bare']",bare is a synonym of <extra_id_0>
bare is a synonym of <extra_id_0>,"['covered', 'ample', 'adorn', 'cover', 'full']",bare is an antonym of <extra_id_0>
shanty is an antonym of <extra_id_0>,"['shanty', 'hovel', 'chantey', 'speakeasy', 'shack', 'shanties']",shanty is a synonym of <extra_id_0>
appearance is an antonym of <extra_id_0>,"['debut', 'quality', 'appearance', 'appearances', 'spectacle', 'becoming', 'transfer', 'attendance', 'happening', 'representation', 'semblance', 'aspect', 'arrival', 'pretense']",appearance is a synonym of <extra_id_0>
appearance is a synonym of <extra_id_0>,['disappearance'],appearance is an antonym of <extra_id_0>
peek is an antonym of <extra_id_0>,"['peeks', 'glance', 'peek', 'look']",peek is a synonym of <extra_id_0>
question is an antonym of <extra_id_0>,"['inquiry', 'topic', 'interview', 'question', 'questioning', 'query', 'wonder', 'frain', 'enquiry', 'issue', 'interrogate', 'subject', 'sentence', 'questions', 'single', 'doubt', 'motion']",question is a synonym of <extra_id_0>
question is a synonym of <extra_id_0>,"['statement', 'answer']",question is an antonym of <extra_id_0>
info is an antonym of <extra_id_0>,"['information', 'infoes', 'info', 'software']",info is a synonym of <extra_id_0>
handful is an antonym of <extra_id_0>,"['handful', 'slightly', 'rather', 'containerful', 'handfuls', 'fistful', 'bit', 'little', 'handbreadth']",handful is a synonym of <extra_id_0>
quarter is an antonym of <extra_id_0>,"['coin', 'state', 'part', 'draw', 'person', 'stern', 'trimester', 'district', 'silver', 'one-fourth', 'clemency', 'quarters', 'fourth', 'orientation', 'quarter']",quarter is a synonym of <extra_id_0>
quarter is a synonym of <extra_id_0>,['quadruple'],quarter is an antonym of <extra_id_0>
mohawk is an antonym of <extra_id_0>,"['Iroquoian', 'mohican', 'iroquois', 'mohawk', 'mohawks', 'crater', 'Iroquois']",mohawk is a synonym of <extra_id_0>
bender is an antonym of <extra_id_0>,"['bender', 'binge', 'carouse', 'benders', 'curve', 'tool']",bender is a synonym of <extra_id_0>
everyday is an antonym of <extra_id_0>,"['everyday', 'quotidian', 'everydays', 'unremarkable', 'workaday', 'routine', 'mundane']",everyday is a synonym of <extra_id_0>
journalist is an antonym of <extra_id_0>,"['journalists', 'writer', 'journalist', 'diarist', 'reporter']",journalist is a synonym of <extra_id_0>
orange is an antonym of <extra_id_0>,"['fruit', 'citrus', 'food', 'orange', 'oranges', 'pigment', 'orangish', 'colour']",orange is a synonym of <extra_id_0>
orange is a synonym of <extra_id_0>,"['nonorange', 'apple']",orange is an antonym of <extra_id_0>
trailer is an antonym of <extra_id_0>,"['camper', 'trailers', 'conveyance', 'trailer', 'preview', 'dawdler', 'sentinel']",trailer is a synonym of <extra_id_0>
trailer is a synonym of <extra_id_0>,['header'],trailer is an antonym of <extra_id_0>
mop is an antonym of <extra_id_0>,"['mops', 'pout', 'scrub', 'mop', 'swab']",mop is a synonym of <extra_id_0>
stake is an antonym of <extra_id_0>,"['post', 'interest', 'venture', 'bet', 'gamble', 'stakes', 'spike', 'shaft', 'stake', 'peg', 'impale']",stake is a synonym of <extra_id_0>
kettlebell is an antonym of <extra_id_0>,"['girya', 'kettlebell', 'kettlebells']",kettlebell is a synonym of <extra_id_0>
infirmity is an antonym of <extra_id_0>,"['infirmities', 'deformity', 'unfitness', 'disability', 'impairment', 'infirmity']",infirmity is a synonym of <extra_id_0>
bas is an antonym of <extra_id_0>,"['bass', 'beng', 'bas', 'bappsc', 'basc']",bas is a synonym of <extra_id_0>
pipeline is an antonym of <extra_id_0>,"['pipeline', 'grapevine', 'buffer', 'pipe', 'pipelines']",pipeline is a synonym of <extra_id_0>
asphalt is an antonym of <extra_id_0>,"['tarmac', 'mixture', 'asphalts', 'bitumen', 'asphalt', 'blacktop', 'mineral']",asphalt is a synonym of <extra_id_0>
hurdle is an antonym of <extra_id_0>,"['barrier', 'hurdles', 'obstacle', 'hurdle', 'vault']",hurdle is a synonym of <extra_id_0>
poster is an antonym of <extra_id_0>,"['poster', 'posters', 'sign']",poster is a synonym of <extra_id_0>
avocado is an antonym of <extra_id_0>,"['avocado', 'avocadoes', 'plant']",avocado is a synonym of <extra_id_0>
tap is an antonym of <extra_id_0>,"['touch', 'hit', 'pat', 'taps', 'conduit', 'plug', 'bang', 'faucet', 'eavesdrop', 'exploit', 'solicit', 'spout', 'wiretap', 'rap', 'tapdance', 'handle', 'spigot', 'plate', 'tool', 'tap']",tap is a synonym of <extra_id_0>
tap is a synonym of <extra_id_0>,['pat'],tap is an antonym of <extra_id_0>
courtyard is an antonym of <extra_id_0>,"['court', 'courtyards', 'courtyard']",courtyard is a synonym of <extra_id_0>
lungi is an antonym of <extra_id_0>,"['lungi', 'sarong', 'lungis']",lungi is a synonym of <extra_id_0>
badger is an antonym of <extra_id_0>,"['animal', 'tease', 'American', 'mammal', 'badgers', 'thesaurus:flatulate', 'wisconsinite', 'badger', 'brock']",badger is a synonym of <extra_id_0>
torso is an antonym of <extra_id_0>,"['trunk', 'torsoes', 'torso']",torso is a synonym of <extra_id_0>
inspector is an antonym of <extra_id_0>,"['examiner', 'inspectors', 'inspector', 'policeman']",inspector is a synonym of <extra_id_0>
concoction is an antonym of <extra_id_0>,"['concoctions', 'concoction', 'confection', 'mix', 'foodstuff', 'invention']",concoction is a synonym of <extra_id_0>
opinion is an antonym of <extra_id_0>,"['opinion', 'impression', 'opinions', 'belief', 'judgment', 'message']",opinion is a synonym of <extra_id_0>
opinion is a synonym of <extra_id_0>,"['partial', 'fact']",opinion is an antonym of <extra_id_0>
door is an antonym of <extra_id_0>,"['doorway', 'structure', 'room', 'door', 'doors', 'entree']",door is a synonym of <extra_id_0>
door is a synonym of <extra_id_0>,"['exit', 'road', 'wall', 'window', 'opening']",door is an antonym of <extra_id_0>
might is an antonym of <extra_id_0>,"['strength', 'might', 'mights']",might is a synonym of <extra_id_0>
might is a synonym of <extra_id_0>,"['wont', 'weakness', 'will', 'definitely', 'weak']",might is an antonym of <extra_id_0>
d is an antonym of <extra_id_0>,"['d', 'ob', 'letter', 'rd', 'nd', 'ds', '500']",d is a synonym of <extra_id_0>
d is a synonym of <extra_id_0>,['r'],d is an antonym of <extra_id_0>
imitation is an antonym of <extra_id_0>,"['copy', 'doctrine', 'imitations', 'imitation', 'copying', 'caricature', 'faux']",imitation is a synonym of <extra_id_0>
imitation is a synonym of <extra_id_0>,['creation'],imitation is an antonym of <extra_id_0>
diamond is an antonym of <extra_id_0>,"['artifact', 'gem', 'carbon', 'forever', 'semiconductor', 'diamond', 'diamonds', 'sparkler', 'jewel', 'lozenge', 'adamant', 'mineral', 'solid', 'rhombus']",diamond is a synonym of <extra_id_0>
diamond is a synonym of <extra_id_0>,"['outfield', 'coal']",diamond is an antonym of <extra_id_0>
reaction is an antonym of <extra_id_0>,"['rxn', 'idea', 'conservatism', 'response', 'force', 'reaction', 'reax', 'reactions', 'resistance']",reaction is a synonym of <extra_id_0>
con is an antonym of <extra_id_0>,"['swindle', 'cons', 'argument', 'scam', 'memorize', 'con', 'disadvantage', 'convict', 'bunco', 'victimize']",con is a synonym of <extra_id_0>
con is a synonym of <extra_id_0>,['pro'],con is an antonym of <extra_id_0>
headdress is an antonym of <extra_id_0>,"['headgear', 'headdress', 'headdresses', 'clothing']",headdress is a synonym of <extra_id_0>
journal is an antonym of <extra_id_0>,"['magazine', 'journal', 'axle', 'periodical', 'book', 'journals', 'diary', 'daybook']",journal is a synonym of <extra_id_0>
smartphone is an antonym of <extra_id_0>,"['smartphones', 'smartphone']",smartphone is a synonym of <extra_id_0>
roper is an antonym of <extra_id_0>,"['roper', 'decoy', 'ropers', 'ropemaker', 'cowboy']",roper is a synonym of <extra_id_0>
tiara is an antonym of <extra_id_0>,"['tiaras', 'tiara', 'diadem']",tiara is a synonym of <extra_id_0>
cappuccino is an antonym of <extra_id_0>,"['cappuccinoes', 'beverage', 'cappuccino', 'coffee']",cappuccino is a synonym of <extra_id_0>
coaster is an antonym of <extra_id_0>,"['resident', 'mover', 'coaster', 'coasters', 'ship', 'rollercoaster']",coaster is a synonym of <extra_id_0>
olympic is an antonym of <extra_id_0>,"['olympics', 'olympic', 'Olympian']",olympic is a synonym of <extra_id_0>
everest is an antonym of <extra_id_0>,"['everests', 'qomolangma', 'zhumulangma', 'everest']",everest is a synonym of <extra_id_0>
entrance is an antonym of <extra_id_0>,"['doorway', 'ingang', 'portal', 'capture', 'entry', 'entrances', 'admission', 'entrance', 'access', 'arrival', 'admittance']",entrance is a synonym of <extra_id_0>
entrance is a synonym of <extra_id_0>,['exit'],entrance is an antonym of <extra_id_0>
drive is an antonym of <extra_id_0>,"['move', 'device', 'impel', 'tug', 'journey', 'take', 'engine', 'compel', 'driveway', 'road', 'attack', 'herd', 'campaign', 'return', 'drive', 'desire', 'transportation', 'make', 'avenue', 'mechanism', 'ride', 'trait', 'drives', 'ambition', 'propulsion', 'force', 'approach', 'repel']",drive is a synonym of <extra_id_0>
drive is a synonym of <extra_id_0>,"['idle', 'walking', 'ride', 'parked', 'reverse', 'inertia', 'stop', 'walk', 'passenger', 'park']",drive is an antonym of <extra_id_0>
trick is an antonym of <extra_id_0>,"['trick', 'artifice', 'dishonesty', 'device', 'whoremaster', 'illusion', 'mod', 'john', 'deceive', 'con', 'turn', 'tricks', 'antic', 'shift']",trick is a synonym of <extra_id_0>
trick is a synonym of <extra_id_0>,"['fair', 'play', 'treat']",trick is an antonym of <extra_id_0>
belt is an antonym of <extra_id_0>,"['restraint', 'belts', 'bash', 'belt', 'buckle', 'dram', 'region', 'loop', 'blow', 'book', 'girdle', 'knock', 'accessory', 'gulp', 'circle', 'swath', 'strap']",belt is a synonym of <extra_id_0>
meditation is an antonym of <extra_id_0>,"['meditations', 'meditation', 'contemplation']",meditation is a synonym of <extra_id_0>
detective is an antonym of <extra_id_0>,"['human', 'dt', 'detective', 'person', 'policeman', 'investigator', 'sleuth', 'worker', 'detectives']",detective is a synonym of <extra_id_0>
stallion is an antonym of <extra_id_0>,"['stallions', 'horse', 'entire', 'studhorse', 'stallion']",stallion is a synonym of <extra_id_0>
spool is an antonym of <extra_id_0>,"['device', 'spool', 'spools', 'reel', 'bobbin']",spool is a synonym of <extra_id_0>
undershirt is an antonym of <extra_id_0>,"['shirt', 'underwear', 'singlet', 'undershirt', 'undershirts']",undershirt is a synonym of <extra_id_0>
harmony is an antonym of <extra_id_0>,"['music', 'compatibility', 'harmony', 'harmonies', 'agreement', 'order']",harmony is a synonym of <extra_id_0>
baby is an antonym of <extra_id_0>,"['fetus', ""baby's"", 'babies', 'offspring', 'love', 'undertaking', 'babe', 'little', 'child', 'baby', 'pamper']",baby is a synonym of <extra_id_0>
baby is a synonym of <extra_id_0>,"['person', 'man', 'old', 'elder', 'adult']",baby is an antonym of <extra_id_0>
hallway is an antonym of <extra_id_0>,"['hallways', 'room', 'corridor', 'hallway']",hallway is a synonym of <extra_id_0>
schoolgirl is an antonym of <extra_id_0>,"['schoolgirls', 'schoolgirl', 'schoolchild', 'pupil', 'girl', 'schoolkid']",schoolgirl is a synonym of <extra_id_0>
broom is an antonym of <extra_id_0>,"['sweep', 'broom', 'brooms', 'shrub', 'heather', 'besom']",broom is a synonym of <extra_id_0>
hummingbird is an antonym of <extra_id_0>,"['animal', 'pollinator', 'hummingbirds', 'hummingbird', 'bird']",hummingbird is a synonym of <extra_id_0>
injury is an antonym of <extra_id_0>,"['damage', 'ill', 'wrong', 'wrongdoing', 'detriment', 'disease', 'injury', 'accident', 'mischief', 'loss', 'illness', 'evil', 'injustice', 'injuries', 'prejudice', 'wound', 'impairment']",injury is a synonym of <extra_id_0>
yolk is an antonym of <extra_id_0>,"['food', 'yolks', 'yolk', 'liquid', 'yellow']",yolk is a synonym of <extra_id_0>
yolk is a synonym of <extra_id_0>,['white'],yolk is an antonym of <extra_id_0>
30 is an antonym of <extra_id_0>,"['weapon', 'thirty', '30', 'automobile', '30s']",30 is a synonym of <extra_id_0>
competitor is an antonym of <extra_id_0>,"['adversary', 'competitor', 'competitors', 'rival']",competitor is a synonym of <extra_id_0>
tree is an antonym of <extra_id_0>,"['tree', 'plant', 'corner', 'figure', 'wood', 'trees', 'graph', 'shoetree', 'tracheophyte', 'site', 'diagram']",tree is a synonym of <extra_id_0>
tree is a synonym of <extra_id_0>,"['nice', 'bush', 'palm']",tree is an antonym of <extra_id_0>
hover is an antonym of <extra_id_0>,"['hover', 'levitate', 'hovers', 'brood']",hover is a synonym of <extra_id_0>
anniversary is an antonym of <extra_id_0>,"['anniversary', 'day', 'yearday', 'yeartide', 'anniversaries']",anniversary is a synonym of <extra_id_0>
alley is an antonym of <extra_id_0>,"['lane', 'street', 'alleys', 'gap', 'alley', 'aisle']",alley is a synonym of <extra_id_0>
die is an antonym of <extra_id_0>,"['perish', 'ibo', 'template', 'device', 'fail', 'depart', 'expire', 'decease', 'dies', 'die', 'cutter', 'dice']",die is a synonym of <extra_id_0>
die is a synonym of <extra_id_0>,"['born', 'birth', 'live', 'life']",die is an antonym of <extra_id_0>
layer is an antonym of <extra_id_0>,"['artifact', 'structure', 'hen', 'layer', 'stratum', 'level', 'lay', 'layers', 'region']",layer is a synonym of <extra_id_0>
courage is an antonym of <extra_id_0>,"['bravery', 'courages', 'courage', 'courageousness', 'resolve', 'confidence', 'spirit', 'bravura']",courage is a synonym of <extra_id_0>
courage is a synonym of <extra_id_0>,"['lion', 'cowardly', 'cowardice']",courage is an antonym of <extra_id_0>
flare is an antonym of <extra_id_0>,"['shape', 'device', 'reflection', 'attack', 'erythroderma', 'flare', 'flares', 'fly', 'effusion', 'erupt', 'fire']",flare is a synonym of <extra_id_0>
justice is an antonym of <extra_id_0>,"['justices', 'righteousness', 'judgment', 'judge', 'justice', 'justiciar']",justice is a synonym of <extra_id_0>
justice is a synonym of <extra_id_0>,"['injustice', 'unfair']",justice is an antonym of <extra_id_0>
gala is an antonym of <extra_id_0>,"['galas', 'celebration', 'festivity', 'social', 'gala', 'pomp']",gala is a synonym of <extra_id_0>
souvenir is an antonym of <extra_id_0>,"['keepsake', 'memento', 'souvenir', 'reminder', 'souvenirs']",souvenir is a synonym of <extra_id_0>
cause is an antonym of <extra_id_0>,"['origin', 'lawsuit', 'induce', 'grounds', 'campaign', 'cause', 'justification', 'causes', 'because']",cause is a synonym of <extra_id_0>
cause is a synonym of <extra_id_0>,"['effect', 'consequence']",cause is an antonym of <extra_id_0>
