prompt,opposite_sent,completion
The british aren't <extra_id_0>,The british are <extra_id_0>,"['pansys', 'person', 'pansies', 'european', 'british']"
Jigglypuff isn't a kind of <extra_id_0>,Jigglypuff is a kind of <extra_id_0>,['pokémon']
A curfew isn't a type of <extra_id_0>,A curfew is a type of <extra_id_0>,"['mandate', 'rule', 'signal', 'deadline', 'decree', 'bell']"
Iris isn't a type of spring <extra_id_0>,Iris is a type of spring <extra_id_0>,"['diaphragm', 'epithelium', 'flower', 'album', 'membrane', 'monocot', 'plant', 'iris']"
Slug isn't a kind of <extra_id_0>,Slug is a kind of <extra_id_0>,"['food', 'alcohol', 'gastropod', 'coin']"
Brass isn't a <extra_id_0>,Brass is a <extra_id_0>,"['alloy', 'family', 'decoration', 'section', 'memorial', 'album', 'bronze', 'plate']"
A chesterfield isn't a <extra_id_0>,A chesterfield is a <extra_id_0>,"['couch', 'greatcoat', 'coat', 'davenport', 'town']"
A toilet isn't a kind of <extra_id_0>,A toilet is a kind of <extra_id_0>,"['dressing', 'room', 'commode']"
Nitroglycerin isn't a <extra_id_0>,Nitroglycerin is a <extra_id_0>,"['vasodilator', 'nitrate']"
Some toilets aren't <extra_id_0>,Some toilets are <extra_id_0>,['unsanitary']
Frogs and toads aren't <extra_id_0>,Frogs and toads are <extra_id_0>,"['amphibians', 'aphibians']"
Hardtack isn't a type of <extra_id_0>,Hardtack is a type of <extra_id_0>,"['food', 'biscuit', 'mahogany', 'flatbread']"
Some vegetables aren't <extra_id_0>,Some vegetables are <extra_id_0>,"['plants', 'tubers', 'commonly', 'food']"
A dolphin isn't a kind of <extra_id_0>,A dolphin is a kind of <extra_id_0>,"['software', 'fish']"
A pickle isn't a kind of <extra_id_0>,A pickle is a kind of <extra_id_0>,"['cucumber', 'relish', 'food']"
Bamboo isn't a <extra_id_0>,Bamboo is a <extra_id_0>,"['wood', 'plant']"
Newspapers aren't <extra_id_0>,Newspapers are <extra_id_0>,"['documents', 'papers.on']"
Cellphone isn't a kind of <extra_id_0>,Cellphone is a kind of <extra_id_0>,['phone']
Dishes aren't <extra_id_0>,Dishes are <extra_id_0>,"['circles', 'containers']"
Infinitesimal isn't a <extra_id_0>,Infinitesimal is a <extra_id_0>,['variable']
Some ponds aren't <extra_id_0>,Some ponds are <extra_id_0>,['swamps']
Penicillin isn't a type of <extra_id_0>,Penicillin is a type of <extra_id_0>,"['antibiotic', 'drug']"
Ford isn't <extra_id_0>,Ford is <extra_id_0>,"['jprime', 'crossing']"
Door isn't wall <extra_id_0>,Door is wall <extra_id_0>,"['entree', 'room', 'structure']"
A planer isn't a type of <extra_id_0>,A planer is a type of <extra_id_0>,['tool']
A teacup isn't a <extra_id_0>,A teacup is a <extra_id_0>,"['cup', 'containerful']"
Hot isn't an <extra_id_0>,Hot is an <extra_id_0>,['weapon']
Bigotry isn't a type of <extra_id_0>,Bigotry is a type of <extra_id_0>,"['belief', 'opinion', 'intolerance', 'prejudice']"
Tylenol isn't a kind of <extra_id_0>,Tylenol is a kind of <extra_id_0>,"['medicine', 'product', 'acetaminophen']"
A dachshund isn't a <extra_id_0>,A dachshund is a <extra_id_0>,['dog']
Pinguin isn't a <extra_id_0>,Pinguin is a <extra_id_0>,['animal']
Hacker isn't a kind of <extra_id_0>,Hacker is a kind of <extra_id_0>,"['programmer', 'golfer', 'terrorist', 'person']"
A roofer isn't a type of <extra_id_0>,A roofer is a type of <extra_id_0>,"['tradesperson', 'craftsman', 'tradesman']"
Spider isn't a type of <extra_id_0>,Spider is a type of <extra_id_0>,"['program', 'arachnid']"
Australia isn't a kind of <extra_id_0>,Australia is a kind of <extra_id_0>,"['continent', 'country', 'antipodes', 'island', 'game']"
Xenon isn't an <extra_id_0>,Xenon is an <extra_id_0>,['gas']
Lynx isn't another <extra_id_0>,Lynx is another <extra_id_0>,"['animal', 'wildcat', 'cat', 'constellation']"
Architecture isn't a kind of <extra_id_0>,Architecture is a kind of <extra_id_0>,"['discipline', 'profession', 'occupation', 'science', 'designing', 'building']"
Information isn't a <extra_id_0>,Information is a <extra_id_0>,"['cognition', 'abstraction', 'message', 'Knowledge', 'data', 'accusation']"
Nokia isn't a Finnish <extra_id_0>,Nokia is a Finnish <extra_id_0>,['company']
Codeine isn't a type of <extra_id_0>,Codeine is a type of <extra_id_0>,"['drug', 'morphine', 'antitussive', 'analgesic', 'opiate']"
Illinois isn't a kind of <extra_id_0>,Illinois is a kind of <extra_id_0>,"['Algonquin', 'Algonquian', 'building']"
A Walkman isn't a type of <extra_id_0>,A Walkman is a type of <extra_id_0>,['radio']
Absolut isn't a kind of <extra_id_0>,Absolut is a kind of <extra_id_0>,['vodka']
Adventure doesn't have a <extra_id_0>,Adventure has a <extra_id_0>,['undertaking']
Densiformis yew isn't a <extra_id_0>,Densiformis yew is a <extra_id_0>,"['wood', 'conifer']"
Fences aren't <extra_id_0>,Fences are <extra_id_0>,['boundaries']
Surgeons aren't <extra_id_0>,Surgeons are <extra_id_0>,['people']
Rutabagas aren't <extra_id_0>,Rutabagas are <extra_id_0>,['vegetables']
Badminton isn't a fun <extra_id_0>,Badminton is a fun <extra_id_0>,['sport']
A pelican isn't a kind of <extra_id_0>,A pelican is a kind of <extra_id_0>,"['waterfowl', 'seabird', 'bird']"
A carpenter isn't a type of <extra_id_0>,A carpenter is a type of <extra_id_0>,"['tradesperson', 'woodworker', 'tradesman']"
A parent isn't a kind of <extra_id_0>,A parent is a kind of <extra_id_0>,"['child', 'family', 'guardian', 'organism', 'person', 'ancestor', 'animal', 'genitor']"
"The ""Cranberries"" aren't a <extra_id_0>","The ""Cranberries"" are a <extra_id_0>",['band']
Laws aren't <extra_id_0>,Laws are <extra_id_0>,"['rules', 'guides']"
Some scientists aren't <extra_id_0>,Some scientists are <extra_id_0>,['subordinates']
An abortion isn't a kind of <extra_id_0>,An abortion is a kind of <extra_id_0>,"['operation', 'termination', 'disease', 'issue']"
Live isn't <extra_id_0>,Live is <extra_id_0>,"['album', 'mystery', 'book']"
Pine isn't a <extra_id_0>,Pine is a <extra_id_0>,"['wood', 'software', 'conifer']"
Human isn't <extra_id_0>,Human is <extra_id_0>,"['primate', 'person', 'hypocrit', 'hypocrites', 'animal']"
Thursday isn't a <extra_id_0>,Thursday is a <extra_id_0>,"['weekday', 'film', 'day']"
Croatia isn't a kind of <extra_id_0>,Croatia is a kind of <extra_id_0>,['country']
A ball isn't a kind of <extra_id_0>,A ball is a kind of <extra_id_0>,"['pitch', 'plaything', 'software', 'agglomeration', 'dance', 'event', 'structure', 'sphere', 'celebration', 'party']"
Blog isn't a type of <extra_id_0>,Blog is a type of <extra_id_0>,"['diary', 'website']"
The horizon isn't an <extra_id_0>,The horizon is an <extra_id_0>,"['single', 'scope', 'stratum', 'line']"
A detainee didn't be <extra_id_0>,A detainee was <extra_id_0>,"['sodomised', 'prisoner']"
IMSA isn't a kind of <extra_id_0>,IMSA is a kind of <extra_id_0>,['school']
Flys aren't <extra_id_0>,Flys are <extra_id_0>,['pests']
Spirit isn't <extra_id_0>,Spirit is <extra_id_0>,"['atmosphere', 'character', 'mob']"
Red isn't <extra_id_0>,Red is <extra_id_0>,"['acolor', 'colour']"
Guitar isn't a kind of <extra_id_0>,Guitar is a kind of <extra_id_0>,"['lute', 'instrument', 'chordophone']"
Ohm isn't a type of unit of <extra_id_0>,Ohm is a type of unit of <extra_id_0>,"['measurement', 'river']"
Buckets aren't <extra_id_0>,Buckets are <extra_id_0>,['watertight']
Torture isn't a kind of <extra_id_0>,Torture is a kind of <extra_id_0>,"['pain', 'violence', 'persecution']"
A fireboard isn't a kind of <extra_id_0>,A fireboard is a kind of <extra_id_0>,['firestick']
California isn't a <extra_id_0>,California is a <extra_id_0>,['dandelion']
Dependability isn't a <extra_id_0>,Dependability is a <extra_id_0>,['responsibility']
A hug isn't a kind of <extra_id_0>,A hug is a kind of <extra_id_0>,"['action', 'embrace']"
Metal isn't <extra_id_0>,Metal is <extra_id_0>,"['gleam', 'shiney', 'music', 'ductile']"
Some tires aren't <extra_id_0>,Some tires are <extra_id_0>,['inflatable']
Some people aren't <extra_id_0>,Some people are <extra_id_0>,"['scientists', 'janitors', 'judges', 'bullies', 'greedy;', 'Mexicans', 'Christians', 'Americans', 'grandsons', 'firemen', 'podiatrists', 'bisexuals', 'everywhere', 'receptionists', 'geologists', 'teachers', 'secretaries', 'chemists', 'jerks', 'bazaar', 'individuals', 'physicians', 'not', 'hairdressers', 'criminals', 'celebrities', 'calculators', 'regularly', 'lawyers', 'laborers', 'politicians', 'messengers', 'Indians', 'drycleaners', 'grocers', 'family', 'extroverted', 'dancing', 'entrepreneurs', 'parents', 'liars', 'exercising', 'clerks', 'cartologists', 'hypocrites', 'group', 'alcoholics', 'better', 'veterinarians', 'idiots', 'magazine', 'managers', 'chefs', 'translators', 'persons', 'peacemakers', 'psychologists', 'less', 'headaches', 'drifters', 'democrats']"
Crustacean isn't a type of <extra_id_0>,Crustacean is a type of <extra_id_0>,"['animal', 'crustacean', 'arthropod']"
Jar isn't a type of glass <extra_id_0>,Jar is a type of glass <extra_id_0>,"['glass', 'achromatism', 'container', 'containerful', 'solid', 'breakable', 'glassware', 'beaker']"
A forest isn't an <extra_id_0>,A forest is an <extra_id_0>,"['land', 'single', 'not', 'biome', 'wild', 'vegetation']"
Indica isn't a type of <extra_id_0>,Indica is a type of <extra_id_0>,"['marijuana', 'marijuanna']"
Sand isn't <extra_id_0>,Sand is <extra_id_0>,"['soil', 'ground', 'also', 'plentifull']"
Baseball isn't a <extra_id_0>,Baseball is a <extra_id_0>,"['sport', 'orb', 'burgoise', 'ball']"
Popeye isn't a <extra_id_0>,Popeye is a <extra_id_0>,['weapon']
Islam isn't a <extra_id_0>,Islam is a <extra_id_0>,"['civilization', 'monotheism', 'religion', 'monotheistic']"
Partygoers aren't <extra_id_0>,Partygoers are <extra_id_0>,['people']
Rabbit isn't <extra_id_0>,Rabbit is <extra_id_0>,"['lagomorph', 'pet', 'leporid', 'mammal', 'game', 'rodent', 'meat']"
Penguins aren't small cute <extra_id_0>,Penguins are small cute <extra_id_0>,"['funny-looking', 'animals']"
Birthday isn't birth <extra_id_0>,Birthday is birth <extra_id_0>,"['date', 'anniversary']"
A filbert isn't a <extra_id_0>,A filbert is a <extra_id_0>,"['birch', 'tree']"
Shame isn't a kind of <extra_id_0>,Shame is a kind of <extra_id_0>,"['emotion', 'dishonor', 'book', 'embarrassment', 'feeling']"
Sneeze isn't reflex <extra_id_0>,Sneeze is reflex <extra_id_0>,['reaction']
Silica isn't a <extra_id_0>,Silica is a <extra_id_0>,['oxide']
Courting isn't <extra_id_0>,Courting is <extra_id_0>,['dating']
A tennisball isn't a kind of <extra_id_0>,A tennisball is a kind of <extra_id_0>,['ball']
Vise isn't <extra_id_0>,Vise is <extra_id_0>,['tool']
Palaces aren't <extra_id_0>,Palaces are <extra_id_0>,['buildings']
Nausea isn't a kind of <extra_id_0>,Nausea is a kind of <extra_id_0>,"['disgust', 'book', 'illness', 'symptom']"
Gnocchi isn't a kind of <extra_id_0>,Gnocchi is a kind of <extra_id_0>,"['dumpling', 'pasta', 'food']"
Indigo isn't a <extra_id_0>,Indigo is a <extra_id_0>,"['violet', 'person', 'shrub']"
A rabbit isn't <extra_id_0>,A rabbit is <extra_id_0>,"['lagomorph', 'pet', 'leporid', 'mammal', 'game', 'rodent', 'meat']"
Computers and prefixes aren't both <extra_id_0>,Computers and prefixes are both <extra_id_0>,['tools']
A shot isn't a kind of <extra_id_0>,A shot is a kind of <extra_id_0>,"['charge', 'opportunity', 'attempt', 'projectile', 'injection', 'expert', 'blow', 'remark', 'treatment']"
Propane isn't a kind of <extra_id_0>,Propane is a kind of <extra_id_0>,"['gas', 'alkane', 'fuel']"
Slavery isn't <extra_id_0>,Slavery is <extra_id_0>,"['labor', 'coercion', 'widely', 'practice']"
A triangle isn't a kind of <extra_id_0>,A triangle is a kind of <extra_id_0>,"['tool', 'shape', 'polygon']"
PayDay isn't a kind of <extra_id_0>,PayDay is a kind of <extra_id_0>,"['candy', 'day']"
Felines aren't <extra_id_0>,Felines are <extra_id_0>,['carnivores']
A conoe isn't a type of <extra_id_0>,A conoe is a type of <extra_id_0>,['boat']
Pewter isn't a kind of <extra_id_0>,Pewter is a kind of <extra_id_0>,"['alloy', 'metal']"
Wasps aren't <extra_id_0>,Wasps are <extra_id_0>,['insects']
Computors aren't <extra_id_0>,Computors are <extra_id_0>,['machines']
Helium isn't a <extra_id_0>,Helium is a <extra_id_0>,['gas']
Morphine isn't an <extra_id_0>,Morphine is an <extra_id_0>,"['drug', 'crystal', 'phenol', 'bitterness', 'analgesic', 'opiate']"
Tea isn't a <extra_id_0>,Tea is a <extra_id_0>,"['meal', 'shrub', 'beverage', 'reception', 'herb']"
Music isn't a <extra_id_0>,Music is a <extra_id_0>,"['activity', 'sounds', 'language', 'punishment', 'always', 'sound']"
Gasoline isn't a <extra_id_0>,Gasoline is a <extra_id_0>,"['combustible', 'hydrocarbon', 'fuel']"
A system isn't a <extra_id_0>,A system is a <extra_id_0>,"['substance', 'group', 'instrumentality', 'method']"
LCD isn't a type of <extra_id_0>,LCD is a type of <extra_id_0>,"['fpd', 'screens']"
LSD isn't a <extra_id_0>,LSD is a <extra_id_0>,"['medicine', 'hallucinogen']"
Water isn't a <extra_id_0>,Water is a <extra_id_0>,"['achromatism', 'oxyde', 'liquid', 'hydride', 'nutrient', 'food', 'beverage', 'water', 'element', 'life', 'chemical', 'H2O']"
Hunger isn't a <extra_id_0>,Hunger is a <extra_id_0>,"['desire', 'sensation', 'drive']"
A snowball isn't a type of <extra_id_0>,A snowball is a type of <extra_id_0>,"['projectile', 'ball']"
Hull isn't a <extra_id_0>,Hull is a <extra_id_0>,"['calyx', 'husk', 'structure']"
Arepa isn't a type of <extra_id_0>,Arepa is a type of <extra_id_0>,"['food', 'flatbread']"
A nostril isn't a <extra_id_0>,A nostril is a <extra_id_0>,['naris']
Volleyball isn't another kind of <extra_id_0>,Volleyball is another kind of <extra_id_0>,"['sport', 'ball']"
Desert isn't a <extra_id_0>,Desert is a <extra_id_0>,"['deservingness', 'biome', 'terrain', 'tract']"
Kallitype isn't a kind of <extra_id_0>,Kallitype is a kind of <extra_id_0>,['photograph']
Turmeric isn't a <extra_id_0>,Turmeric is a <extra_id_0>,"['plant', 'herb', 'flavorer']"
Lobotomy isn't a kind of <extra_id_0>,Lobotomy is a kind of <extra_id_0>,['psychosurgery']
Bluebird isn't <extra_id_0>,Bluebird is <extra_id_0>,"['thrush', 'sleeping', 'bird']"
University isn't a type of <extra_id_0>,University is a type of <extra_id_0>,"['body', 'School', 'school', 'institution', 'academy', 'organization', 'establishment']"
Acne isn't <extra_id_0>,Acne is <extra_id_0>,['embarassing']
UCLA isn't a kind of <extra_id_0>,UCLA is a kind of <extra_id_0>,"['uc', 'school', 'university']"
The alphabet isn't <extra_id_0>,The alphabet is <extra_id_0>,"['script', 'usefull']"
A chimpanzee isn't a kind of an <extra_id_0>,A chimpanzee is a kind of an <extra_id_0>,"['animal', 'hominid', 'mammal']"
A restroom isn't a kind of <extra_id_0>,A restroom is a kind of <extra_id_0>,"['amenities', 'room', 'toilet', 'bathroom', 'latrine']"
Chlorophyll isn't a kind of <extra_id_0>,Chlorophyll is a kind of <extra_id_0>,"['green', 'chlorophyll', 'pigment']"
A shepherd isn't a <extra_id_0>,A shepherd is a <extra_id_0>,"['mammal', 'herder', 'clergyman', 'worker', 'animal']"
Polo isn't a kind of an <extra_id_0>,Polo is a kind of an <extra_id_0>,['sport']
A brownstone isn't a type of <extra_id_0>,A brownstone is a type of <extra_id_0>,"['sandstone', 'home']"
Paracetamol isn't a kind of <extra_id_0>,Paracetamol is a kind of <extra_id_0>,"['painkiller', 'drug', 'antipyretic', 'solid', 'phenol']"
Science isn't <extra_id_0>,Science is <extra_id_0>,"['discipline', 'empiric']"
Hydrogen isn't a <extra_id_0>,Hydrogen is a <extra_id_0>,['gas']
Bar isn't drink <extra_id_0>,Bar is drink <extra_id_0>,"['implement', 'ridge', 'obstruction', 'support', 'railing', 'counter', 'barrier']"
Hate isn't an <extra_id_0>,Hate is an <extra_id_0>,['emotion']
Church isn't a type of christian <extra_id_0>,Church is a type of christian <extra_id_0>,"['temple', 'religion', 'body', 'parish', 'organization', 'burgoise']"
Beer isn't <extra_id_0>,Beer is <extra_id_0>,"['beverage', 'carbonated', 'alcohol', 'crater', 'fizzy', 'brew']"
Bromine isn't a kind of <extra_id_0>,Bromine is a kind of <extra_id_0>,"['liquid', 'halogen']"
War isn't <extra_id_0>,War is <extra_id_0>,"['conflict', 'hostility', 'hell', 'violence', 'sugly', 'fight', 'campaign']"
Chinese isn't a human <extra_id_0>,Chinese is a human <extra_id_0>,"['Sinitic', 'chinese', 'person', 'asian', 'Asiatic', 'human']"
Sprite isn't a <extra_id_0>,Sprite is a <extra_id_0>,"['beverage', 'manga']"
Oxytocin isn't a <extra_id_0>,Oxytocin is a <extra_id_0>,"['drug', 'oxytocic', 'neuromodulator', 'hormone']"
A tiger isn't a <extra_id_0>,A tiger is a <extra_id_0>,"['felid', 'feline', 'mammal', 'person']"
Swaying isn't a type of <extra_id_0>,Swaying is a type of <extra_id_0>,['motion']
Tiramisu isn't a type of <extra_id_0>,Tiramisu is a type of <extra_id_0>,"['dessert', 'cake', 'food']"
Ozone isn't a <extra_id_0>,Ozone is a <extra_id_0>,"['gas', 'oxygen']"
Apples aren't <extra_id_0>,Apples are <extra_id_0>,"['crunchy', 'computers', 'best']"
An ENT isn't a kind of <extra_id_0>,An ENT is a kind of <extra_id_0>,['doctor']
Ignorants isn't <extra_id_0>,Ignorants is <extra_id_0>,['bliss']
Intel isn't a <extra_id_0>,Intel is a <extra_id_0>,['company']
Thrips aren't <extra_id_0>,Thrips are <extra_id_0>,"['insect', 'pests', 'thysanopter']"
A tub isn't a <extra_id_0>,A tub is a <extra_id_0>,"['containerful', 'vessel']"
Wildlife isn't a <extra_id_0>,Wildlife is a <extra_id_0>,['life']
Tennessee isn't a kind of <extra_id_0>,Tennessee is a kind of <extra_id_0>,['state']
A moviegoer isn't a kind of <extra_id_0>,A moviegoer is a kind of <extra_id_0>,"['person', 'spectator']"
A contralto isn't a <extra_id_0>,A contralto is a <extra_id_0>,['singer']
Ω isn't a kind of limit <extra_id_0>,Ω is a kind of limit <extra_id_0>,"['infinity', 'ordinal']"
Mathematics aren't <extra_id_0>,Mathematics are <extra_id_0>,"['science', 'aboslute']"
Resveratrol isn't a natural <extra_id_0>,Resveratrol is a natural <extra_id_0>,"['phenol', 'antioxidant']"
