prompt,opposite_sent,completion
 Replace the [MASK] with the correct word: Topology isn't a kind of [MASK]. [MASK] is,Topology is a kind of [MASK].,"['configuration', 'math', 'topography']"
 Replace the [MASK] with the correct word: Bulbul isn't a [MASK]. [MASK] is,Bulbul is a [MASK].,"['nightingale', 'bird']"
 Replace the [MASK] with the correct word: Similarity between a display cabinet and a stool: both aren't items of [MASK]. [MASK] is,Similarity between a display cabinet and a stool: both are items of [MASK].,"['box', 'compartment', 'furniture', 'housing']"
 Replace the [MASK] with the correct word: Pepsi isn't a [MASK]. [MASK] is,Pepsi is a [MASK].,"['beverage', 'cola']"
 Replace the [MASK] with the correct word: The world isn't [MASK]. [MASK] is,The world is [MASK].,"['experience', 'part', 'tiny', 'homo', 'island', 'little', 'everything', 'class', 'group', 'rount']"
 Replace the [MASK] with the correct word: Turpentine isn't [MASK]. [MASK] is,Turpentine is [MASK].,"['flamable', 'oleoresin']"
 Replace the [MASK] with the correct word: Acting isn't an [MASK]. [MASK] is,Acting is an [MASK].,"['activity', 'communicating', 'pretending']"
 Replace the [MASK] with the correct word: Passwords aren't [MASK]. [MASK] is,Passwords are [MASK].,['secrets']
 Replace the [MASK] with the correct word: Language isn't communication [MASK]. [MASK] is,Language is communication [MASK].,"['medium', 'communication', 'faculty']"
 Replace the [MASK] with the correct word: Procrastination isn't a type of [MASK]. [MASK] is,Procrastination is a type of [MASK].,"['behaviour', 'delay']"
 Replace the [MASK] with the correct word: Bush isn't american [MASK]. [MASK] is,Bush is american [MASK].,['wilderness']
 Replace the [MASK] with the correct word: Agate isn't a precious [MASK]. [MASK] is,Agate is a precious [MASK].,"['chalcedony', 'mineral', 'gemstone']"
 Replace the [MASK] with the correct word: A bomber isn't a type of [MASK]. [MASK] is,A bomber is a type of [MASK].,"['aeroplane', 'criminal', 'person', 'warplane', 'sandwich', 'airplane']"
 Replace the [MASK] with the correct word: LINUX isn't [MASK]. [MASK] is,LINUX is [MASK].,"['free', 'software', 'well', 'stable']"
 Replace the [MASK] with the correct word: Ministers aren't [MASK]. [MASK] is,Ministers are [MASK].,['politicians']
 Replace the [MASK] with the correct word: A catalog isn't a kind of [MASK]. [MASK] is,A catalog is a kind of [MASK].,"['list', 'book']"
 Replace the [MASK] with the correct word: Fire isn't a type of old [MASK]. [MASK] is,Fire is a type of old [MASK].,"['software', 'happening', 'fireplace', 'element', 'book', 'fire', 'criticism', 'combustion', 'burning', 'fuel', 'scrub', 'trial', 'attack']"
 Replace the [MASK] with the correct word: A parallelogram isn't a type of geometric [MASK]. [MASK] is,A parallelogram is a type of geometric [MASK].,['quadrilateral']
 Replace the [MASK] with the correct word: Memories aren't [MASK]. [MASK] is,Memories are [MASK].,['information']
 Replace the [MASK] with the correct word: A telemarketer isn't a [MASK]. [MASK] is,A telemarketer is a [MASK].,['worker']
 Replace the [MASK] with the correct word: Salt isn't a type of [MASK]. [MASK] is,Salt is a type of [MASK].,"['season', 'taste', 'flavorer', 'crystal', 'compound', 'white-colored']"
 Replace the [MASK] with the correct word: Anteaters aren't [MASK]. [MASK] is,Anteaters are [MASK].,['mammals']
 Replace the [MASK] with the correct word: Genocide isn't a type of [MASK]. [MASK] is,Genocide is a type of [MASK].,"['issue', 'democide', 'killing', 'crime']"
 Replace the [MASK] with the correct word: Fluorine isn't a [MASK]. [MASK] is,Fluorine is a [MASK].,"['gas', 'halogen']"
 Replace the [MASK] with the correct word: Alabaster isn't a [MASK]. [MASK] is,Alabaster is a [MASK].,"['gypsum', 'mineral', 'calcite', 'white']"
 Replace the [MASK] with the correct word: A beluga isn't a type of [MASK]. [MASK] is,A beluga is a type of [MASK].,"['sturgeon', 'fish', 'whale']"
 Replace the [MASK] with the correct word: Yacht isn't a type of fancy [MASK]. [MASK] is,Yacht is a type of fancy [MASK].,"['ship', 'sailboat', 'vessel', 'boat']"
 Replace the [MASK] with the correct word: Sinkholes aren't [MASK]. [MASK] is,Sinkholes are [MASK].,['caverns']
 Replace the [MASK] with the correct word: Lizards aren't small [MASK]. [MASK] is,Lizards are small [MASK].,"['scaly', 'animals']"
 Replace the [MASK] with the correct word: Laser isn't a type of [MASK]. [MASK] is,Laser is a type of [MASK].,['light']
 Replace the [MASK] with the correct word: Holmstrup arborvitae isn't a [MASK]. [MASK] is,Holmstrup arborvitae is a [MASK].,['conifer']
 Replace the [MASK] with the correct word: Jogging isn't a [MASK]. [MASK] is,Jogging is a [MASK].,"['exercise', 'exercising']"
 Replace the [MASK] with the correct word: A brickmason isn't a type of [MASK]. [MASK] is,A brickmason is a type of [MASK].,['tradesman']
 Replace the [MASK] with the correct word: A sweater isn't something you [MASK]. [MASK] is,A sweater is something you [MASK].,"['top', 'garment']"
 Replace the [MASK] with the correct word: Lilacs aren't [MASK]. [MASK] is,Lilacs are [MASK].,['plants']
 Replace the [MASK] with the correct word: Pigs aren't [MASK]. [MASK] is,Pigs are [MASK].,"['omnivorous', 'mammals', 'song']"
 Replace the [MASK] with the correct word: The british aren't [MASK]. [MASK] is,The british are [MASK].,"['pansys', 'person', 'pansies', 'european', 'british']"
 Replace the [MASK] with the correct word: Jigglypuff isn't a kind of [MASK]. [MASK] is,Jigglypuff is a kind of [MASK].,['pokémon']
 Replace the [MASK] with the correct word: A curfew isn't a type of [MASK]. [MASK] is,A curfew is a type of [MASK].,"['mandate', 'rule', 'signal', 'deadline', 'decree', 'bell']"
 Replace the [MASK] with the correct word: Irisn't isn't a type of spring [MASK]. [MASK] is,Iris is a type of spring [MASK].,"['diaphragm', 'epithelium', 'flower', 'album', 'membrane', 'monocot', 'plant', 'iris']"
 Replace the [MASK] with the correct word: Slug isn't a kind of [MASK]. [MASK] is,Slug is a kind of [MASK].,"['food', 'alcohol', 'gastropod', 'coin']"
 Replace the [MASK] with the correct word: Brass isn't a [MASK]. [MASK] is,Brass is a [MASK].,"['alloy', 'family', 'decoration', 'section', 'memorial', 'album', 'bronze', 'plate']"
 Replace the [MASK] with the correct word: A chesterfield isn't a [MASK]. [MASK] is,A chesterfield is a [MASK].,"['couch', 'greatcoat', 'coat', 'davenport', 'town']"
 Replace the [MASK] with the correct word: A toilet isn't a kind of [MASK]. [MASK] is,A toilet is a kind of [MASK].,"['dressing', 'room', 'commode']"
 Replace the [MASK] with the correct word: Nitroglycerin isn't a [MASK]. [MASK] is,Nitroglycerin is a [MASK].,"['vasodilator', 'nitrate']"
 Replace the [MASK] with the correct word: Some toilets aren't [MASK]. [MASK] is,Some toilets are [MASK].,['unsanitary']
 Replace the [MASK] with the correct word: Frogs and toads aren't [MASK]. [MASK] is,Frogs and toads are [MASK].,"['amphibians', 'aphibians']"
 Replace the [MASK] with the correct word: Hardtack isn't a type of [MASK]. [MASK] is,Hardtack is a type of [MASK].,"['food', 'biscuit', 'mahogany', 'flatbread']"
 Replace the [MASK] with the correct word: Some vegetables aren't [MASK]. [MASK] is,Some vegetables are [MASK].,"['plants', 'tubers', 'commonly', 'food']"
 Replace the [MASK] with the correct word: A dolphin isn't a kind of [MASK]. [MASK] is,A dolphin is a kind of [MASK].,"['software', 'fish']"
 Replace the [MASK] with the correct word: A pickle isn't a kind of [MASK]. [MASK] is,A pickle is a kind of [MASK].,"['cucumber', 'relish', 'food']"
 Replace the [MASK] with the correct word: Bamboo isn't a [MASK]. [MASK] is,Bamboo is a [MASK].,"['wood', 'plant']"
 Replace the [MASK] with the correct word: Newspapers aren't [MASK]. [MASK] is,Newspapers are [MASK].,"['documents', 'papers.on']"
 Replace the [MASK] with the correct word: Cellphone isn't a kind of [MASK]. [MASK] is,Cellphone is a kind of [MASK].,['phone']
 Replace the [MASK] with the correct word: Dishes aren't [MASK]. [MASK] is,Dishes are [MASK].,"['circles', 'containers']"
 Replace the [MASK] with the correct word: Infinitesimal isn't a [MASK]. [MASK] is,Infinitesimal is a [MASK].,['variable']
 Replace the [MASK] with the correct word: Some ponds aren't [MASK]. [MASK] is,Some ponds are [MASK].,['swamps']
 Replace the [MASK] with the correct word: Penicillin isn't a type of [MASK]. [MASK] is,Penicillin is a type of [MASK].,"['antibiotic', 'drug']"
 Replace the [MASK] with the correct word: Ford isn't [MASK]. [MASK] is,Ford is [MASK].,"['jprime', 'crossing']"
 Replace the [MASK] with the correct word: Door isn't wall [MASK]. [MASK] is,Door is wall [MASK].,"['entree', 'room', 'structure']"
 Replace the [MASK] with the correct word: A planer isn't a type of [MASK]. [MASK] is,A planer is a type of [MASK].,['tool']
 Replace the [MASK] with the correct word: A teacup isn't a [MASK]. [MASK] is,A teacup is a [MASK].,"['cup', 'containerful']"
 Replace the [MASK] with the correct word: Hot isn't an [MASK]. [MASK] is,Hot is an [MASK].,['weapon']
 Replace the [MASK] with the correct word: Bigotry isn't a type of [MASK]. [MASK] is,Bigotry is a type of [MASK].,"['belief', 'opinion', 'intolerance', 'prejudice']"
 Replace the [MASK] with the correct word: Tylenol isn't a kind of [MASK]. [MASK] is,Tylenol is a kind of [MASK].,"['medicine', 'product', 'acetaminophen']"
 Replace the [MASK] with the correct word: A dachshund isn't a [MASK]. [MASK] is,A dachshund is a [MASK].,['dog']
 Replace the [MASK] with the correct word: Pinguin isn't a [MASK]. [MASK] is,Pinguin is a [MASK].,['animal']
 Replace the [MASK] with the correct word: Hacker isn't a kind of [MASK]. [MASK] is,Hacker is a kind of [MASK].,"['programmer', 'golfer', 'terrorist', 'person']"
 Replace the [MASK] with the correct word: A roofer isn't a type of [MASK]. [MASK] is,A roofer is a type of [MASK].,"['tradesperson', 'craftsman', 'tradesman']"
 Replace the [MASK] with the correct word: Spider isn't a type of [MASK]. [MASK] is,Spider is a type of [MASK].,"['program', 'arachnid']"
 Replace the [MASK] with the correct word: Australia isn't a kind of [MASK]. [MASK] is,Australia is a kind of [MASK].,"['continent', 'country', 'antipodes', 'island', 'game']"
 Replace the [MASK] with the correct word: Xenon isn't an [MASK]. [MASK] is,Xenon is an [MASK].,['gas']
 Replace the [MASK] with the correct word: Lynx isn't another [MASK]. [MASK] is,Lynx is another [MASK].,"['animal', 'wildcat', 'cat', 'constellation']"
 Replace the [MASK] with the correct word: Architecture isn't a kind of [MASK]. [MASK] is,Architecture is a kind of [MASK].,"['discipline', 'profession', 'occupation', 'science', 'designing', 'building']"
 Replace the [MASK] with the correct word: Information isn't a [MASK]. [MASK] is,Information is a [MASK].,"['cognition', 'abstraction', 'message', 'Knowledge', 'data', 'accusation']"
 Replace the [MASK] with the correct word: Nokia isn't a Finnish [MASK]. [MASK] is,Nokia is a Finnish [MASK].,['company']
 Replace the [MASK] with the correct word: Codeine isn't a type of [MASK]. [MASK] is,Codeine is a type of [MASK].,"['drug', 'morphine', 'antitussive', 'analgesic', 'opiate']"
 Replace the [MASK] with the correct word: Illinoisn't isn't a kind of [MASK]. [MASK] is,Illinois is a kind of [MASK].,"['Algonquin', 'Algonquian', 'building']"
 Replace the [MASK] with the correct word: A Walkman isn't a type of [MASK]. [MASK] is,A Walkman is a type of [MASK].,['radio']
 Replace the [MASK] with the correct word: Absolut isn't a kind of [MASK]. [MASK] is,Absolut is a kind of [MASK].,['vodka']
 Replace the [MASK] with the correct word: Adventure doesn't have a [MASK]. [MASK] is,Adventure has a [MASK].,['undertaking']
 Replace the [MASK] with the correct word: Densiformisn't yew isn't a [MASK]. [MASK] is,Densiformis yew is a [MASK].,"['wood', 'conifer']"
 Replace the [MASK] with the correct word: Fences aren't [MASK]. [MASK] is,Fences are [MASK].,['boundaries']
 Replace the [MASK] with the correct word: Surgeons aren't [MASK]. [MASK] is,Surgeons are [MASK].,['people']
 Replace the [MASK] with the correct word: Rutabagas aren't [MASK]. [MASK] is,Rutabagas are [MASK].,['vegetables']
 Replace the [MASK] with the correct word: Badminton isn't a fun [MASK]. [MASK] is,Badminton is a fun [MASK].,['sport']
 Replace the [MASK] with the correct word: A pelican isn't a kind of [MASK]. [MASK] is,A pelican is a kind of [MASK].,"['waterfowl', 'seabird', 'bird']"
 Replace the [MASK] with the correct word: A carpenter isn't a type of [MASK]. [MASK] is,A carpenter is a type of [MASK].,"['tradesperson', 'woodworker', 'tradesman']"
 Replace the [MASK] with the correct word: A parent isn't a kind of [MASK]. [MASK] is,A parent is a kind of [MASK].,"['child', 'family', 'guardian', 'organism', 'person', 'ancestor', 'animal', 'genitor']"
" Replace the [MASK] with the correct word: The ""Cranberries"" aren't a [MASK]. [MASK] is","The ""Cranberries"" are a [MASK].",['band']
 Replace the [MASK] with the correct word: Laws aren't [MASK]. [MASK] is,Laws are [MASK].,"['rules', 'guides']"
 Replace the [MASK] with the correct word: Some scientists aren't [MASK]. [MASK] is,Some scientists are [MASK].,['subordinates']
 Replace the [MASK] with the correct word: An abortion isn't a kind of [MASK]. [MASK] is,An abortion is a kind of [MASK].,"['operation', 'termination', 'disease', 'issue']"
 Replace the [MASK] with the correct word: Live isn't [MASK]. [MASK] is,Live is [MASK].,"['album', 'mystery', 'book']"
 Replace the [MASK] with the correct word: Pine isn't a [MASK]. [MASK] is,Pine is a [MASK].,"['wood', 'software', 'conifer']"
 Replace the [MASK] with the correct word: Human isn't [MASK]. [MASK] is,Human is [MASK].,"['primate', 'person', 'hypocrit', 'hypocrites', 'animal']"
 Replace the [MASK] with the correct word: Thursday isn't a [MASK]. [MASK] is,Thursday is a [MASK].,"['weekday', 'film', 'day']"
 Replace the [MASK] with the correct word: Croatia isn't a kind of [MASK]. [MASK] is,Croatia is a kind of [MASK].,['country']
 Replace the [MASK] with the correct word: A ball isn't a kind of [MASK]. [MASK] is,A ball is a kind of [MASK].,"['pitch', 'plaything', 'software', 'agglomeration', 'dance', 'event', 'structure', 'sphere', 'celebration', 'party']"
 Replace the [MASK] with the correct word: Blog isn't a type of [MASK]. [MASK] is,Blog is a type of [MASK].,"['diary', 'website']"
 Replace the [MASK] with the correct word: The horizon isn't an [MASK]. [MASK] is,The horizon is an [MASK].,"['single', 'scope', 'stratum', 'line']"
 Replace the [MASK] with the correct word: A detainee didn't be [MASK]. [MASK] is,A detainee was [MASK].,"['sodomised', 'prisoner']"
 Replace the [MASK] with the correct word: IMSA isn't a kind of [MASK]. [MASK] is,IMSA is a kind of [MASK].,['school']
 Replace the [MASK] with the correct word: Flys aren't [MASK]. [MASK] is,Flys are [MASK].,['pests']
 Replace the [MASK] with the correct word: Spirit isn't [MASK]. [MASK] is,Spirit is [MASK].,"['atmosphere', 'character', 'mob']"
 Replace the [MASK] with the correct word: Red isn't [MASK]. [MASK] is,Red is [MASK].,"['acolor', 'colour']"
 Replace the [MASK] with the correct word: Guitar isn't a kind of [MASK]. [MASK] is,Guitar is a kind of [MASK].,"['lute', 'instrument', 'chordophone']"
 Replace the [MASK] with the correct word: Ohm isn't a type of unit of [MASK]. [MASK] is,Ohm is a type of unit of [MASK].,"['measurement', 'river']"
 Replace the [MASK] with the correct word: Buckets aren't [MASK]. [MASK] is,Buckets are [MASK].,['watertight']
 Replace the [MASK] with the correct word: Torture isn't a kind of [MASK]. [MASK] is,Torture is a kind of [MASK].,"['pain', 'violence', 'persecution']"
 Replace the [MASK] with the correct word: A fireboard isn't a kind of [MASK]. [MASK] is,A fireboard is a kind of [MASK].,['firestick']
 Replace the [MASK] with the correct word: California isn't a [MASK]. [MASK] is,California is a [MASK].,['dandelion']
 Replace the [MASK] with the correct word: Dependability isn't a [MASK]. [MASK] is,Dependability is a [MASK].,['responsibility']
 Replace the [MASK] with the correct word: A hug isn't a kind of [MASK]. [MASK] is,A hug is a kind of [MASK].,"['action', 'embrace']"
 Replace the [MASK] with the correct word: Metal isn't [MASK]. [MASK] is,Metal is [MASK].,"['gleam', 'shiney', 'music', 'ductile']"
 Replace the [MASK] with the correct word: Some tires aren't [MASK]. [MASK] is,Some tires are [MASK].,['inflatable']
 Replace the [MASK] with the correct word: Some people aren't [MASK]. [MASK] is,Some people are [MASK].,"['scientists', 'janitors', 'judges', 'bullies', 'greedy;', 'Mexicans', 'Christians', 'Americans', 'grandsons', 'firemen', 'podiatrists', 'bisexuals', 'everywhere', 'receptionists', 'geologists', 'teachers', 'secretaries', 'chemists', 'jerks', 'bazaar', 'individuals', 'physicians', 'not', 'hairdressers', 'criminals', 'celebrities', 'calculators', 'regularly', 'lawyers', 'laborers', 'politicians', 'messengers', 'Indians', 'drycleaners', 'grocers', 'family', 'extroverted', 'dancing', 'entrepreneurs', 'parents', 'liars', 'exercising', 'clerks', 'cartologists', 'hypocrites', 'group', 'alcoholics', 'better', 'veterinarians', 'idiots', 'magazine', 'managers', 'chefs', 'translators', 'persons', 'peacemakers', 'psychologists', 'less', 'headaches', 'drifters', 'democrats']"
 Replace the [MASK] with the correct word: Crustacean isn't a type of [MASK]. [MASK] is,Crustacean is a type of [MASK].,"['animal', 'crustacean', 'arthropod']"
 Replace the [MASK] with the correct word: Jar isn't a type of glass [MASK]. [MASK] is,Jar is a type of glass [MASK].,"['glass', 'achromatism', 'container', 'containerful', 'solid', 'breakable', 'glassware', 'beaker']"
 Replace the [MASK] with the correct word: A forest isn't an [MASK]. [MASK] is,A forest is an [MASK].,"['land', 'single', 'not', 'biome', 'wild', 'vegetation']"
 Replace the [MASK] with the correct word: Indica isn't a type of [MASK]. [MASK] is,Indica is a type of [MASK].,"['marijuana', 'marijuanna']"
 Replace the [MASK] with the correct word: Sand isn't [MASK]. [MASK] is,Sand is [MASK].,"['soil', 'ground', 'also', 'plentifull']"
 Replace the [MASK] with the correct word: Baseball isn't a [MASK]. [MASK] is,Baseball is a [MASK].,"['sport', 'orb', 'burgoise', 'ball']"
 Replace the [MASK] with the correct word: Popeye isn't a [MASK]. [MASK] is,Popeye is a [MASK].,['weapon']
 Replace the [MASK] with the correct word: Islam isn't a [MASK]. [MASK] is,Islam is a [MASK].,"['civilization', 'monotheism', 'religion', 'monotheistic']"
 Replace the [MASK] with the correct word: Partygoers aren't [MASK]. [MASK] is,Partygoers are [MASK].,['people']
 Replace the [MASK] with the correct word: Rabbit isn't [MASK]. [MASK] is,Rabbit is [MASK].,"['lagomorph', 'pet', 'leporid', 'mammal', 'game', 'rodent', 'meat']"
 Replace the [MASK] with the correct word: Penguins aren't small cute [MASK]. [MASK] is,Penguins are small cute [MASK].,"['funny-looking', 'animals']"
 Replace the [MASK] with the correct word: Birthday isn't birth [MASK]. [MASK] is,Birthday is birth [MASK].,"['date', 'anniversary']"
 Replace the [MASK] with the correct word: A filbert isn't a [MASK]. [MASK] is,A filbert is a [MASK].,"['birch', 'tree']"
 Replace the [MASK] with the correct word: Shame isn't a kind of [MASK]. [MASK] is,Shame is a kind of [MASK].,"['emotion', 'dishonor', 'book', 'embarrassment', 'feeling']"
 Replace the [MASK] with the correct word: Sneeze isn't reflex [MASK]. [MASK] is,Sneeze is reflex [MASK].,['reaction']
 Replace the [MASK] with the correct word: Silica isn't a [MASK]. [MASK] is,Silica is a [MASK].,['oxide']
 Replace the [MASK] with the correct word: Courting isn't [MASK]. [MASK] is,Courting is [MASK].,['dating']
 Replace the [MASK] with the correct word: A tennisball isn't a kind of [MASK]. [MASK] is,A tennisball is a kind of [MASK].,['ball']
 Replace the [MASK] with the correct word: Vise isn't [MASK]. [MASK] is,Vise is [MASK].,['tool']
 Replace the [MASK] with the correct word: Palaces aren't [MASK]. [MASK] is,Palaces are [MASK].,['buildings']
 Replace the [MASK] with the correct word: Nausea isn't a kind of [MASK]. [MASK] is,Nausea is a kind of [MASK].,"['disgust', 'book', 'illness', 'symptom']"
 Replace the [MASK] with the correct word: Gnocchi isn't a kind of [MASK]. [MASK] is,Gnocchi is a kind of [MASK].,"['dumpling', 'pasta', 'food']"
 Replace the [MASK] with the correct word: Indigo isn't a [MASK]. [MASK] is,Indigo is a [MASK].,"['violet', 'person', 'shrub']"
 Replace the [MASK] with the correct word: A rabbit isn't [MASK]. [MASK] is,A rabbit is [MASK].,"['lagomorph', 'pet', 'leporid', 'mammal', 'game', 'rodent', 'meat']"
 Replace the [MASK] with the correct word: Computers and prefixes aren't both [MASK]. [MASK] is,Computers and prefixes are both [MASK].,['tools']
 Replace the [MASK] with the correct word: A shot isn't a kind of [MASK]. [MASK] is,A shot is a kind of [MASK].,"['charge', 'opportunity', 'attempt', 'projectile', 'injection', 'expert', 'blow', 'remark', 'treatment']"
 Replace the [MASK] with the correct word: Propane isn't a kind of [MASK]. [MASK] is,Propane is a kind of [MASK].,"['gas', 'alkane', 'fuel']"
 Replace the [MASK] with the correct word: Slavery isn't [MASK]. [MASK] is,Slavery is [MASK].,"['labor', 'coercion', 'widely', 'practice']"
